de	hsb	likely_reason
Unknown Driver	Unknown Driver	identical
Standard	Standard	identical
Port:	Port:	identical
Server	Server	identical
URI:	URI:	identical
& Port:	& Port:	identical
Proxy	Proxy	identical
USB	USB	identical
& Test	& Test	identical
Port	Port	identical
& Format:	& Format:	identical
Filter	Filter	identical
Test...	Test...	identical
ISO A4	ISO A4	identical
Folio	Folio	identical
Tabloid	Tabloid	identical
Poster	Poster	identical
A4	A4	identical
& Firma:	& Firma:	identical
Aaron J. Seigo	Aaron J. Seigo	identical
NAME OF TRANSLATORS	NAME OF TRANSLATORS	identical
EMAIL OF TRANSLATORS	EMAIL OF TRANSLATORS	identical
GenericName	GenericName	identical
Name	Name	identical
Name	Name	identical
GenericName	GenericName	identical
Comment	Comment	identical
Name	Name	identical
Comment	Comment	identical
Name	Name	identical
