de	hsb	likely_reason
HP-GL/2-Optionen	HP- GL/ 2- opcije	length_ratio
IPP-Druckerinformationen	Informacija wo IPP- ćišćaku	length_ratio
Symbole,Liste,Baum	& Piktogramy, & Lisćina, Štomik	length_ratio
%1-Webseite	& Domjaca strona% 1	length_ratio
Rohdaten-Drucker	ćišćak za syre daty	length_ratio
Modul-Informationen:	Informacija wo & wotličenju:	length_ratio
Fax/Modem-Gerät:	& Faksowy/ Modemowy nastroj:	length_ratio
Drucker/Druckziel	Ćišćak/ cil na kotryž ma so ćišćeć	length_ratio
tr@erdfunkstelle.de	edi. werner@ gmx. de	length_ratio
Sie können hier Ihre Gamefu-Sammlung konfigurieren.Name	Name	length_ratio
Sie können hier den Emulator für jedes System konfigurieren.Name	Name	length_ratio
Sie können hier die allgemeinen Module konfigurieren.Name	Name	length_ratio
Gamefu - Eine KDE Alle-Maschinen-Emulator-Oberfläche für UNIXName	Name	length_ratio
Game Boy Advance ROM-DateiName	Name	length_ratio
Game Boy/Game Boy Color ROM-DateiName	Name	length_ratio
Füllt das Titelbild und ein Bildschirmfoto in eine Datenbank.Name	Name	length_ratio
Wählt ein zufälliges ROM aus der Datenbank aus.Name	Name	length_ratio
Fügt die Unterstützung für Game Boy Advance in Gamefu hinzuName	Name	length_ratio
Fügt die Unterstützung für Game Boy/Game Boy Color in Gamefu hinzuName	Name	length_ratio
Fügt die Unterstützung für Sega Genesis/Megadrive in Gamefu hinzuName	Name	length_ratio
Fügt die Unterstützung für MAME in Gamefu hinzuName	Name	length_ratio
Fügt die Unterstützung für Nintendo Entertainment System in Gamefu hinzuName	Name	length_ratio
Fügt die Unterstützung für Super Nintendo Entertainment System in Gamefu hinzuName	Name	length_ratio
SPIEL BEENDET. Sie haben gewonnen!Comment	Comment	length_ratio
Sie haben das aktuelle Backgammonspiel gewonnenName	Name	length_ratio
SPIEL BEENDET. Sie haben verloren!Comment	Comment	length_ratio
Sie haben das aktuelle Backgammonspiel verlorenName	Name	length_ratio
Sie sind dran zu würfeln oder den Einsatz zu verdoppelnName	Name	length_ratio
Sie sind dran zu würfelnName	Name	length_ratio
Standard-Design für Kigo in KDE 4Name	Name	length_ratio
