de	hsb	likely_reason
LPD-Druckerwarteschlange auf Fremdrechner	LPD- rynk na druhim ličaku	other_or_resplit
Unbekannt	Njeznaju	other_or_resplit
Drucken	Ćišćeć	other_or_resplit
Drucker	Ćišćak	other_or_resplit
Typ:	Družina:	other_or_resplit
Kommentar:	Komentar:	other_or_resplit
& Drucken	Ćišćeć	other_or_resplit
Beim Laden der Druckerliste ist ein Fehler aufgetreten:	Zmylk je so stał při dóstawanju lisćiny ćišćakow	other_or_resplit
Sofort	Hnydom	other_or_resplit
Benutzername:	Mjeno wužiwarja:	other_or_resplit
& Passwort:	Škitne & hesło:	other_or_resplit
& Abbrechen	& Přetorhnyć	other_or_resplit
Keine	Žane	other_or_resplit
Rechner:	Server:	other_or_resplit
Zugelassene Benutzer	Wužiwarjo z přistupom	other_or_resplit
Nicht zugelassene Benutzer	Wužiwarjo bjez přistupa	other_or_resplit
Ordner	Filter	other_or_resplit
Name	Mjeno	other_or_resplit
Wert	Hódnota	other_or_resplit
Nur lesen	Jenož čitać	other_or_resplit
& Passwort:	& Hesło:	other_or_resplit
Drucksystem	Ćišćenski system	other_or_resplit
Angehalten	zastajene	other_or_resplit
Abgebrochen	přetorhnjene	other_or_resplit
Gerät:	Grat:	other_or_resplit
Entfernen	Wotstronić	other_or_resplit
& Einrichten...	Konfiguracija...	other_or_resplit
Hinzufügen	Dodaj	other_or_resplit
Dokumentation	Dokumentacija	other_or_resplit
Assistent für die Druckereinrichtung	Dodaj ćišćakoweho kuzłarja	other_or_resplit
